filename,path,md5sum
INSPIRE.xml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/INSPIRE.xml,f87809a0b310c9c94b242d642989c0f4
manifest.safe,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/manifest.safe,41ccf623212ec2f1ebc2f2d11b7c8cd6
MTD_MSIL1C.xml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/MTD_MSIL1C.xml,472deb1310a432581e03be2469ebda69
MTD_DS.xml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/DATASTRIP\DS_SGS__20191122T160846_S20191122T142731\MTD_DS.xml,9d6c9ce0c2aaf876822c9c70ec2b3e83
FORMAT_CORRECTNESS.xml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/DATASTRIP\DS_SGS__20191122T160846_S20191122T142731\QI_DATA\FORMAT_CORRECTNESS.xml,bef92600d53acf9d7f964376669a843d
GENERAL_QUALITY.xml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/DATASTRIP\DS_SGS__20191122T160846_S20191122T142731\QI_DATA\GENERAL_QUALITY.xml,8c720dffc1aa39a2bf3088cf42207267
GEOMETRIC_QUALITY.xml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/DATASTRIP\DS_SGS__20191122T160846_S20191122T142731\QI_DATA\GEOMETRIC_QUALITY.xml,ad0f271cae9bb0b92e257b31acae309b
RADIOMETRIC_QUALITY.xml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/DATASTRIP\DS_SGS__20191122T160846_S20191122T142731\QI_DATA\RADIOMETRIC_QUALITY.xml,0e97e0fc848d793e01ec9c774a8491c1
SENSOR_QUALITY.xml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/DATASTRIP\DS_SGS__20191122T160846_S20191122T142731\QI_DATA\SENSOR_QUALITY.xml,4b2cf169f835d76607b0db27df47f8d4
MTD_TL.xml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\MTD_TL.xml,03bb83c815d3b07316a26e3d8382d8cf
